vezes_acima,grupo,perfil,seguidores,data,interacoes,curtidas,comentarios,mediana_perfil,legenda,link,coletado,capa
26.1,gabriel,99hud,58566,20/09/2026,848,433,415,32,Comenta “WHATSAPP” que eu te mando o comando pronto e o passo a passo no direct 👇 A Meta lançou o MCP oficial do WhatsApp Business dia 15 de setembro e eu já deixei ele no meu Claude com 1 comando. São 18 ferramentas. O ,https://www.instagram.com/p/Ddg5hSTlJiY/,2026-09-25 19:36,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/818730194_18625034422000060_8966640785017958489_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=vyNkccgTPBUQ7kNvwGuys9h&_nc_oc=AdpD-5QlBGTKNyh6Bs3KRE9S8hb98yYlSviS5WOYZnHnyEv6EK5p1ZXvc0jE6nmJOps&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=2iPihVxtteyV-JXFmUO-GA&oh=00_AQJ5nP2qJ6YoAZA2cNTL34IGbiVczp_XY1CCAzVwAC93wQ&oe=6ABC8D39
23.8,gabriel,99hud,58566,21/09/2026,772,437,335,32,"Comenta “CURRÍCULO” que eu te mando os prompts prontos no direct 👇 Deixei o Claude se candidatar em 500 vagas por mim — e ele foi até o fim sozinho. Currículo analisado, vagas filtradas, planilha de compatibilidade e can",https://www.instagram.com/p/DdjOBqxloJe/,2026-09-25 19:36,https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/811137791_18625340716000060_6308308045261400172_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=rsXzNhabAW4Q7kNvwGSwlN6&_nc_oc=AdoMlqoygf5l0K20iujYJkd_Aih3763bPt7jjwoFAy5gLWCy34k6b58mY4KWvy1xpxQ&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=2iPihVxtteyV-JXFmUO-GA&oh=00_AQKSPPiJ6PBjhswIO3tJoHbH4n_5PnnLkId-JdwpLLM4aQ&oe=6ABC85DE
19.7,gabriel,99hud,58566,23/09/2026,640,429,211,32,"Comenta “OPUS” que eu te mando o checklist dos 5 ajustes no direct 👇 O Opus 5.5 saiu ontem e eu passei o dia rodando ele. Custa 4 dólares na entrada e 20 na saída por milhão de tokens, contra 5 e 25 do Opus 5. Mexi em 5 ",https://www.instagram.com/p/DdoYntUlL5y/,2026-09-25 19:36,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/822807383_18625994242000060_3861716724551478717_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=Z2XJLC9WP0QQ7kNvwG_P8ji&_nc_oc=Adq51mCqezJUh8c6kbiTY9Vzo9340gEWHYlZYQqJYpwGb4mVTPOB79YolAWmkyDPE_w&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=2iPihVxtteyV-JXFmUO-GA&oh=00_AQLOKIQeld8rHVrI5R8O9Jjejw2ucqfPyz7b7V6SIo22bA&oe=6ABCB8AC
12.8,gabriel,fabianocarvalhojr,217534,21/09/2026,8496,2975,5521,665,"Comente ""8GKQC"" e eu te mando os 7 links e o serviço que dá pra vender com cada um. Em sete meses OpenAI, X, NVIDIA, Anthropic, Cloudflare, Tencent e Alibaba publicaram no GitHub ferramenta que antes era produto pago. Nã",https://www.instagram.com/p/DdkPL6HiPKo/,2026-09-25 19:36,https://scontent-iad3-2.cdninstagram.com/v/t39.30808-6/781548759_1029249260134059_5823090428003576237_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=Qqq0fznYos4Q7kNvwGRZnTM&_nc_oc=Adq-YRBiYKiqFjr9J34aDvr_AzbhUXt_qDS17X9PwQLIkA2rjzzWF8qhSEFkH3NdJtw&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=vlH8jN4ABKHCYWdowkwobA&oh=00_AQLXhvP5g7IXyjpRCHCitM7ohXvgZCrUJwLF1VbLDR3T1Q&oe=6ABC998C
11.4,gabriel,mate.jimenez,53879,20/09/2026,250,180,70,22,"Comenta ""Perfil"" y te mando el prompt para optimizar tu perfil en 10 min con Claude. Validado con +300 perfiles de marcas personales. Tu perfil es tu principal pagina de venta. Miles de personas lo ven cada día.",https://www.instagram.com/p/DdiIeo1jOOf/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/790590676_17982911781081401_4120944495177141661_n.webp?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=l41isIOAZDsQ7kNvwFxrF3K&_nc_oc=AdpV7Z-BpweKOUnkBcwYg84xKPieOML903B4WBtOiNqUa1ssKblIhDtIW1NGvSIevZM&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=eWymMDnxC1TV-CmmqDSmlg&oh=00_AQIO4nayJhil0lwkqqvUlFYUMmFEsD4FjrfO-aG2xdEuvw&oe=6ABCBB6B
11.0,gabriel,mate.jimenez,53879,21/09/2026,242,153,89,22,"Comenta ""Viral"" y te envío un vídeo de 15 min con el paso a paso para crear tu próximo vídeo viral. Después de publicar +1000 reels sabemos que ni la hora de publicación ni los hashtags ni la edición va a hacer que tú co",https://www.instagram.com/p/DdkI1oljiKF/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/808240301_17983030632081401_9139474216385679747_n.webp?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=khFhCmRp8p8Q7kNvwH8yHiy&_nc_oc=Ado97aW0Z3q4zrX0ICPnbUUt8CPya6CIbzBsMtL-P8arKYPIkZjr17pq7y8A54QGEU4&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=eWymMDnxC1TV-CmmqDSmlg&oh=00_AQJYO5ytTheYYDkS8jjT6A34kT7M8363DZrqebNkTYoYxQ&oe=6ABC9DA1
8.1,gabriel,fabianocarvalhojr,217534,22/09/2026,5381,2892,2489,665,"Comente ""6TDVC"" e eu te mando o link da palestra inteira no seu direct. São 50 minutos de 2005, o Bezos na Stanford, sem corte de 30 segundos e sem narração por cima. Ele está explicando como a Amazon pensa, uma semana d",https://www.instagram.com/p/DdmwkAAjJ4Q/,2026-09-25 19:36,https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/813931167_18635934520021072_5376201501795627059_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=vYZcERqSDTAQ7kNvwGTFw6G&_nc_oc=AdrZxwSBDqK1Sm1mNrqTyO7F7rjaSmapfGwf-AGcaa0LMh42fllmr2kiAcuIVQcWV20&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=vlH8jN4ABKHCYWdowkwobA&oh=00_AQJnCmdB0jwXcmmcDj6wCoxu38s0kHjzNcr-nKSvl_aNiA&oe=6ABC9E7B
7.8,gabriel,99hud,58566,25/09/2026,253,136,117,32,"Comenta “PLUGINS” que eu te mando a lista com o link de instalação dos 5 no direct 👇 O Claude puro já é bom. Com esses 5 plugins ele vira outra ferramenta. Um deles dá memória entre as sessões — fecho hoje, abro amanhã e",https://www.instagram.com/p/DdtqJ6hFL0k/,2026-09-25 19:36,https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/825053361_18626665993000060_1624302291087040739_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=oWL2iqO79asQ7kNvwEjkWAL&_nc_oc=Adq-ndO08xAX1h6Dc5unial2r69P47b-vW4KEJ4RMG2rbh0cUEUlrPw8pMVQJpWv8FU&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=2iPihVxtteyV-JXFmUO-GA&oh=00_AQIN2PhxHTLfnOqr-UnHnG4tYdO3nkHECiDpm8kIbKMUZg&oe=6ABC952E
7.6,gabriel,99hud,58566,24/09/2026,246,102,144,32,"Comenta “INSTAGRAM” que eu te mando o link e o passo a passo pra instalar no direct 👇 Instalei 13 skills no Claude e ele virou o social media do meu Instagram, de graça. 1 · Roteiro de reel — 3 ganchos com nota antes de ",https://www.instagram.com/p/DdrCQwMlCxE/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/824329618_18626320783000060_1924788403037072999_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=TTIqrCsAH0UQ7kNvwFquwya&_nc_oc=AdrHBskHGLQIAr2rdqkcizW2h4rQIrocwxm_vsN99p3hUnHDXAdQHKgh-ro4VTEnli8&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=2iPihVxtteyV-JXFmUO-GA&oh=00_AQL7gASf_9cd9iKFxnZWgD5uYyOiJSBxf5oYuv2nhvSeQA&oe=6ABCA03E
6.5,gabriel,99hud,58566,19/09/2026,211,144,67,32,"Comenta “EDITAR” que eu te mando o passo a passo pra ligar o Claude no DaVinci na tua DM 👇 O DaVinci Resolve ganhou MCP oficial e agora o Claude edita teus vídeos lá dentro, só conversando em português. Atualiza pra vers",https://www.instagram.com/p/DdelnFHlFcP/,2026-09-25 19:36,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/817456022_18624726247000060_3079117205258664037_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&_nc_aid=0&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=TCPCGfbbt2oQ7kNvwEoCXRh&_nc_oc=Adq1EVFgyDjYZGiUoPHDtQKnElZgTiM-qTONdB7peiOIhKiq1yjkZT2iQ_TBmdmWN6o&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AL-3X8kEAAAA&_nc_gid=2iPihVxtteyV-JXFmUO-GA&oh=00_AQLM_toBksBGDXb4S9kw4bvTQQcKyD6YljmDEN5mx3i3SA&oe=6ABCAA5F
