vezes_acima,grupo,perfil,seguidores,data,interacoes,curtidas,comentarios,mediana_perfil,legenda,link,coletado
530.4,gabriel,99hud,58566,22/09/2026,11668,6003,5665,22,"Comenta ""LEAD"" e eu te passo o caminho completo por mensagem. Alguém pegou o Google Maps inteiro e transformou numa fonte de clientes aberta pra qualquer um usar. É um projeto gratuito no GitHub que roda no teu próprio n",https://www.instagram.com/reel/DdmAhlIiDdg/,2026-09-25 19:36
315.2,gabriel,99hud,58566,23/09/2026,6935,2330,4605,22,"Comenta ""META"" que eu te mando o guia completo no Direct. O Claude cadastrando o número do seu WhatsApp Business sozinho, com um MCP oficial da própria Meta. Ele se chama WhatsApp Business Tools MCP. Um comando coloca el",https://www.instagram.com/reel/DdpTXOED49r/,2026-09-25 19:36
105.0,gabriel,99hud,58566,22/09/2026,2311,710,1601,22,"Comenta ""ADS"" e me segue que eu te mando o passo a passo completo no Direct. Agora tem um gestor de tráfego inteiro dentro do Claude, cuidando dos teus anúncios em 12 plataformas, de graça. Ele se chama Claude Ads: um pr",https://www.instagram.com/reel/DdmpxScjPVU/,2026-09-25 19:36
72.6,gabriel,fabianocarvalhojr,217534,22/09/2026,10884,3160,7724,150,"Comente ""RUNXR"" e eu te mando o método no seu direct. Onze skills conectadas ao teu Instagram, cada uma fazendo um trabalho diferente, e eu vou te falar qual delas presta e quais eu não ligaria de jeito nenhum. O pacote ",https://www.instagram.com/reel/DdnRmRzjb_i/,2026-09-25 19:36
69.9,gabriel,mate.jimenez,53879,19/09/2026,1468,756,712,21,"Comenta ""TOFU"" y te envío el sistema de contenido que atrae, nutre y vende en + 30 min de clase. TOFU, es el contenido de la etapa más alta de tu embudo donde las personas te conocen y te empiezan a seguir. Guarda el víd",https://www.instagram.com/reel/DdeMiosOILL/,2026-09-25 19:36
65.9,gabriel,nikolassfaria,38379,15/09/2026,4810,1984,2826,73,Siga para mais 👉 nikolassfaria,https://www.instagram.com/reel/DdTm5HohLbs/,2026-09-25 19:36
61.4,gabriel,99hud,58566,24/09/2026,1350,395,955,22,"Comenta ""VÍDEO"" e me segue que eu te mando o link com o passo a passo no Direct. O DaVinci Resolve lançou um MCP oficial e agora o Claude edita a sua timeline inteira só conversando. Saiu no Resolve 21.1, em 08/09: a pró",https://www.instagram.com/reel/DdrzQrlio3T/,2026-09-25 19:36
60.1,gabriel,rafa.grandi,301890,27/08/2026,185565,79174,106391,3086,Comenta “foto” que te mando +50 códigos pelo Direct 🤯 #chatgpt #socialmedia #ia #inteligenciaartificial #fyy,https://www.instagram.com/reel/DcjYCAYzr_P/,2026-09-25 19:36
59.8,gabriel,99hud,58566,20/09/2026,1316,395,921,22,"Comenta ""PROMPT"" e me segue que eu te mando o passo a passo completo no Direct. Um cara criou a maior biblioteca de prompts do mundo e liberou de graça, open source, no GitHub. Ela se chama prompts.chat: é o antigo Aweso",https://www.instagram.com/reel/DdhgKEYiSwY/,2026-09-25 19:36
41.2,gabriel,nikolassfaria,38379,15/08/2026,3008,2493,515,73,Siga para mais 👉 nikolassfaria,https://www.instagram.com/reel/DcEkSP9J-Hj/,2026-09-25 19:36
36.2,gabriel,nikolassfaria,38379,21/08/2026,2640,2495,145,73,Siga para mais 👉 nikolassfaria,https://www.instagram.com/reel/DcTILhQhbpN/,2026-09-25 19:36
36.1,gabriel,allesinisgalli,106553,22/08/2026,11951,5983,5968,331,"A empresa que criou o Claude abriu uma escola de IA gratuita e quase ninguém no Brasil está usando. São mais de 20 cursos e tutoriais no Claude Academy, com badge de conclusão, produzidos pela própria Anthropic. O proble",https://www.instagram.com/reel/DcV1v6GoRIW/,2026-09-25 19:36
